gen,block,line,level,day,patch,no_dispersals,value
0,1,1,high,2,a,0,121
0,1,1,high,2,b,1,79
0,1,1,high,3,a,0,44
0,1,1,high,3,a,1,6
0,1,1,high,3,b,1,77
0,1,1,high,3,b,2,73
0,1,1,high,4,a,0,21
0,1,1,high,4,a,1,30
0,1,1,high,4,a,2,8
0,1,1,high,4,b,1,25
0,1,1,high,4,b,2,49
0,1,1,high,4,b,3,66
0,1,2,high,2,a,0,132
0,1,2,high,2,b,1,68
0,1,2,high,3,a,0,45
0,1,2,high,3,a,1,12
0,1,2,high,3,b,1,87
0,1,2,high,3,b,2,56
0,1,2,high,4,a,0,11
0,1,2,high,4,a,1,25
0,1,2,high,4,a,2,7
0,1,2,high,4,b,1,33
0,1,2,high,4,b,2,77
0,1,2,high,4,b,3,47
0,1,3,high,2,a,0,62
0,1,3,high,2,b,1,138
0,1,3,high,3,a,0,26
0,1,3,high,3,a,1,36
0,1,3,high,3,b,1,36
0,1,3,high,3,b,2,102
0,1,3,high,4,a,0,12
0,1,3,high,4,a,1,34
0,1,3,high,4,a,2,16
0,1,3,high,4,b,1,13
0,1,3,high,4,b,2,37
0,1,3,high,4,b,3,86
0,1,4,high,2,a,0,127
0,1,4,high,2,b,1,73
0,1,4,high,3,a,0,41
0,1,4,high,3,a,1,12
0,1,4,high,3,b,1,86
0,1,4,high,3,b,2,61
0,1,4,high,4,a,0,11
0,1,4,high,4,a,1,27
0,1,4,high,4,a,2,8
0,1,4,high,4,b,1,30
0,1,4,high,4,b,2,71
0,1,4,high,4,b,3,53
0,1,5,high,2,a,0,96
0,1,5,high,2,b,1,104
0,1,5,high,3,a,0,48
0,1,5,high,3,a,1,24
0,1,5,high,3,b,1,48
0,1,5,high,3,b,2,80
0,1,5,high,4,a,0,26
0,1,5,high,4,a,1,27
0,1,5,high,4,a,2,16
0,1,5,high,4,b,1,22
0,1,5,high,4,b,2,45
0,1,5,high,4,b,3,64
0,1,6,high,2,a,0,100
0,1,6,high,2,b,1,100
0,1,6,high,3,a,0,42
0,1,6,high,3,a,1,16
0,1,6,high,3,b,1,58
0,1,6,high,3,b,2,84
0,1,6,high,4,a,0,17
0,1,6,high,4,a,1,26
0,1,6,high,4,a,2,17
0,1,6,high,4,b,1,25
0,1,6,high,4,b,2,48
0,1,6,high,4,b,3,67
0,1,7,high,2,a,0,82
0,1,7,high,2,b,1,118
0,1,7,high,3,a,0,42
0,1,7,high,3,a,1,25
0,1,7,high,3,b,1,40
0,1,7,high,3,b,2,93
0,1,7,high,4,a,0,13
0,1,7,high,4,a,1,16
0,1,7,high,4,a,2,13
0,1,7,high,4,b,1,29
0,1,7,high,4,b,2,49
0,1,7,high,4,b,3,80
0,1,8,high,2,a,0,90
0,1,8,high,2,b,1,110
0,1,8,high,3,a,0,38
0,1,8,high,3,a,1,27
0,1,8,high,3,b,1,52
0,1,8,high,3,b,2,83
0,1,8,high,4,a,0,8
0,1,8,high,4,a,1,18
0,1,8,high,4,a,2,7
0,1,8,high,4,b,1,30
0,1,8,high,4,b,2,61
0,1,8,high,4,b,3,76
0,2,9,high,2,a,0,145
0,2,9,high,2,b,1,55
0,2,9,high,3,a,0,43
0,2,9,high,3,a,1,8
0,2,9,high,3,b,1,102
0,2,9,high,3,b,2,47
0,2,9,high,4,a,0,25
0,2,9,high,4,a,1,32
0,2,9,high,4,a,2,6
0,2,9,high,4,b,1,18
0,2,9,high,4,b,2,78
0,2,9,high,4,b,3,41
0,2,10,high,2,a,0,59
0,2,10,high,2,b,1,141
0,2,10,high,3,a,0,29
0,2,10,high,3,a,1,26
0,2,10,high,3,b,1,30
0,2,10,high,3,b,2,115
0,2,10,high,4,a,0,12
0,2,10,high,4,a,1,31
0,2,10,high,4,a,2,23
0,2,10,high,4,b,1,17
0,2,10,high,4,b,2,25
0,2,10,high,4,b,3,92
0,2,11,high,2,a,0,126
0,2,11,high,2,b,1,74
0,2,11,high,3,a,0,55
0,2,11,high,3,a,1,12
0,2,11,high,3,b,1,71
0,2,11,high,3,b,2,62
0,2,11,high,4,a,0,24
0,2,11,high,4,a,1,25
0,2,11,high,4,a,2,12
0,2,11,high,4,b,1,31
0,2,11,high,4,b,2,58
0,2,11,high,4,b,3,50
0,2,12,high,2,a,0,111
0,2,12,high,2,b,1,89
0,2,12,high,3,a,0,40
0,2,12,high,3,a,1,15
0,2,12,high,3,b,1,85
0,2,12,high,3,b,2,74
0,2,12,high,4,a,0,5
0,2,12,high,4,a,1,25
0,2,12,high,4,a,2,6
0,2,12,high,4,b,1,35
0,2,12,high,4,b,2,61
0,2,12,high,4,b,3,68
0,2,13,high,2,a,0,112
0,2,13,high,2,b,1,88
0,2,13,high,3,a,0,36
0,2,13,high,3,a,1,14
0,2,13,high,3,b,1,76
0,2,13,high,3,b,2,74
0,2,13,high,4,a,0,16
0,2,13,high,4,a,1,33
0,2,13,high,4,a,2,13
0,2,13,high,4,b,1,20
0,2,13,high,4,b,2,57
0,2,13,high,4,b,3,61
0,2,14,high,2,a,0,105
0,2,14,high,2,b,1,95
0,2,14,high,3,a,0,45
0,2,14,high,3,a,1,16
0,2,14,high,3,b,1,60
0,2,14,high,3,b,2,79
0,2,14,high,4,a,0,20
0,2,14,high,4,a,1,28
0,2,14,high,4,a,2,10
0,2,14,high,4,b,1,25
0,2,14,high,4,b,2,48
0,2,14,high,4,b,3,69
0,2,15,high,2,a,0,114
0,2,15,high,2,b,1,86
0,2,15,high,3,a,0,43
0,2,15,high,3,a,1,11
0,2,15,high,3,b,1,71
0,2,15,high,3,b,2,75
0,2,15,high,4,a,0,17
0,2,15,high,4,a,1,30
0,2,15,high,4,a,2,9
0,2,15,high,4,b,1,26
0,2,15,high,4,b,2,52
0,2,15,high,4,b,3,66
0,2,16,high,2,a,0,138
0,2,16,high,2,b,1,62
0,2,16,high,3,a,0,48
0,2,16,high,3,a,1,11
0,2,16,high,3,b,1,90
0,2,16,high,3,b,2,51
0,2,16,high,4,a,0,15
0,2,16,high,4,a,1,30
0,2,16,high,4,a,2,7
0,2,16,high,4,b,1,33
0,2,16,high,4,b,2,71
0,2,16,high,4,b,3,44
0,1,1,low,2,a,0,121
0,1,1,low,2,b,1,79
0,1,1,low,3,a,0,44
0,1,1,low,3,a,1,6
0,1,1,low,3,b,1,77
0,1,1,low,3,b,2,73
0,1,1,low,4,a,0,21
0,1,1,low,4,a,1,30
0,1,1,low,4,a,2,8
0,1,1,low,4,b,1,25
0,1,1,low,4,b,2,49
0,1,1,low,4,b,3,66
0,1,2,low,2,a,0,132
0,1,2,low,2,b,1,68
0,1,2,low,3,a,0,45
0,1,2,low,3,a,1,12
0,1,2,low,3,b,1,87
0,1,2,low,3,b,2,56
0,1,2,low,4,a,0,11
0,1,2,low,4,a,1,25
0,1,2,low,4,a,2,7
0,1,2,low,4,b,1,33
0,1,2,low,4,b,2,77
0,1,2,low,4,b,3,47
0,1,3,low,2,a,0,62
0,1,3,low,2,b,1,138
0,1,3,low,3,a,0,26
0,1,3,low,3,a,1,36
0,1,3,low,3,b,1,36
0,1,3,low,3,b,2,102
0,1,3,low,4,a,0,12
0,1,3,low,4,a,1,34
0,1,3,low,4,a,2,16
0,1,3,low,4,b,1,13
0,1,3,low,4,b,2,37
0,1,3,low,4,b,3,86
0,1,4,low,2,a,0,127
0,1,4,low,2,b,1,73
0,1,4,low,3,a,0,41
0,1,4,low,3,a,1,12
0,1,4,low,3,b,1,86
0,1,4,low,3,b,2,61
0,1,4,low,4,a,0,11
0,1,4,low,4,a,1,27
0,1,4,low,4,a,2,8
0,1,4,low,4,b,1,30
0,1,4,low,4,b,2,71
0,1,4,low,4,b,3,53
0,1,5,low,2,a,0,96
0,1,5,low,2,b,1,104
0,1,5,low,3,a,0,48
0,1,5,low,3,a,1,24
0,1,5,low,3,b,1,48
0,1,5,low,3,b,2,80
0,1,5,low,4,a,0,26
0,1,5,low,4,a,1,27
0,1,5,low,4,a,2,16
0,1,5,low,4,b,1,22
0,1,5,low,4,b,2,45
0,1,5,low,4,b,3,64
0,1,6,low,2,a,0,100
0,1,6,low,2,b,1,100
0,1,6,low,3,a,0,42
0,1,6,low,3,a,1,16
0,1,6,low,3,b,1,58
0,1,6,low,3,b,2,84
0,1,6,low,4,a,0,17
0,1,6,low,4,a,1,26
0,1,6,low,4,a,2,17
0,1,6,low,4,b,1,25
0,1,6,low,4,b,2,48
0,1,6,low,4,b,3,67
0,1,7,low,2,a,0,82
0,1,7,low,2,b,1,118
0,1,7,low,3,a,0,42
0,1,7,low,3,a,1,25
0,1,7,low,3,b,1,40
0,1,7,low,3,b,2,93
0,1,7,low,4,a,0,13
0,1,7,low,4,a,1,16
0,1,7,low,4,a,2,13
0,1,7,low,4,b,1,29
0,1,7,low,4,b,2,49
0,1,7,low,4,b,3,80
0,1,8,low,2,a,0,90
0,1,8,low,2,b,1,110
0,1,8,low,3,a,0,38
0,1,8,low,3,a,1,27
0,1,8,low,3,b,1,52
0,1,8,low,3,b,2,83
0,1,8,low,4,a,0,8
0,1,8,low,4,a,1,18
0,1,8,low,4,a,2,7
0,1,8,low,4,b,1,30
0,1,8,low,4,b,2,61
0,1,8,low,4,b,3,76
0,2,9,low,2,a,0,145
0,2,9,low,2,b,1,55
0,2,9,low,3,a,0,43
0,2,9,low,3,a,1,8
0,2,9,low,3,b,1,102
0,2,9,low,3,b,2,47
0,2,9,low,4,a,0,25
0,2,9,low,4,a,1,32
0,2,9,low,4,a,2,6
0,2,9,low,4,b,1,18
0,2,9,low,4,b,2,78
0,2,9,low,4,b,3,41
0,2,10,low,2,a,0,59
0,2,10,low,2,b,1,141
0,2,10,low,3,a,0,29
0,2,10,low,3,a,1,26
0,2,10,low,3,b,1,30
0,2,10,low,3,b,2,115
0,2,10,low,4,a,0,12
0,2,10,low,4,a,1,31
0,2,10,low,4,a,2,23
0,2,10,low,4,b,1,17
0,2,10,low,4,b,2,25
0,2,10,low,4,b,3,92
0,2,11,low,2,a,0,126
0,2,11,low,2,b,1,74
0,2,11,low,3,a,0,55
0,2,11,low,3,a,1,12
0,2,11,low,3,b,1,71
0,2,11,low,3,b,2,62
0,2,11,low,4,a,0,24
0,2,11,low,4,a,1,25
0,2,11,low,4,a,2,12
0,2,11,low,4,b,1,31
0,2,11,low,4,b,2,58
0,2,11,low,4,b,3,50
0,2,12,low,2,a,0,111
0,2,12,low,2,b,1,89
0,2,12,low,3,a,0,40
0,2,12,low,3,a,1,15
0,2,12,low,3,b,1,85
0,2,12,low,3,b,2,74
0,2,12,low,4,a,0,5
0,2,12,low,4,a,1,25
0,2,12,low,4,a,2,6
0,2,12,low,4,b,1,35
0,2,12,low,4,b,2,61
0,2,12,low,4,b,3,68
0,2,13,low,2,a,0,112
0,2,13,low,2,b,1,88
0,2,13,low,3,a,0,36
0,2,13,low,3,a,1,14
0,2,13,low,3,b,1,76
0,2,13,low,3,b,2,74
0,2,13,low,4,a,0,16
0,2,13,low,4,a,1,33
0,2,13,low,4,a,2,13
0,2,13,low,4,b,1,20
0,2,13,low,4,b,2,57
0,2,13,low,4,b,3,61
0,2,14,low,2,a,0,105
0,2,14,low,2,b,1,95
0,2,14,low,3,a,0,45
0,2,14,low,3,a,1,16
0,2,14,low,3,b,1,60
0,2,14,low,3,b,2,79
0,2,14,low,4,a,0,20
0,2,14,low,4,a,1,28
0,2,14,low,4,a,2,10
0,2,14,low,4,b,1,25
0,2,14,low,4,b,2,48
0,2,14,low,4,b,3,69
0,2,15,low,2,a,0,114
0,2,15,low,2,b,1,86
0,2,15,low,3,a,0,43
0,2,15,low,3,a,1,11
0,2,15,low,3,b,1,71
0,2,15,low,3,b,2,75
0,2,15,low,4,a,0,17
0,2,15,low,4,a,1,30
0,2,15,low,4,a,2,9
0,2,15,low,4,b,1,26
0,2,15,low,4,b,2,52
0,2,15,low,4,b,3,66
0,2,16,low,2,a,0,138
0,2,16,low,2,b,1,62
0,2,16,low,3,a,0,48
0,2,16,low,3,a,1,11
0,2,16,low,3,b,1,90
0,2,16,low,3,b,2,51
0,2,16,low,4,a,0,15
0,2,16,low,4,a,1,30
0,2,16,low,4,a,2,7
0,2,16,low,4,b,1,33
0,2,16,low,4,b,2,71
0,2,16,low,4,b,3,44
1,1,1,high,2,a,0,76
1,1,1,high,2,b,1,124
1,1,1,high,3,a,0,39
1,1,1,high,3,a,1,41
1,1,1,high,3,b,1,16
1,1,1,high,3,b,2,104
1,1,1,high,4,a,0,25
1,1,1,high,4,a,1,21
1,1,1,high,4,a,2,12
1,1,1,high,4,b,1,14
1,1,1,high,4,b,2,36
1,1,1,high,4,b,3,92
1,1,1,low,2,a,0,156
1,1,1,low,2,b,1,44
1,1,1,low,3,a,0,81
1,1,1,low,3,a,1,5
1,1,1,low,3,b,1,75
1,1,1,low,3,b,2,39
1,1,1,low,4,a,0,36
1,1,1,low,4,a,1,29
1,1,1,low,4,a,2,7
1,1,1,low,4,b,1,49
1,1,1,low,4,b,2,50
1,1,1,low,4,b,3,29
1,1,2,high,2,a,0,94
1,1,2,high,2,b,1,106
1,1,2,high,3,a,0,40
1,1,2,high,3,a,1,20
1,1,2,high,3,b,1,53
1,1,2,high,3,b,2,87
1,1,2,high,4,a,0,17
1,1,2,high,4,a,2,13
1,1,2,high,4,b,1,19
1,1,2,high,4,b,2,53
1,1,2,high,4,b,3,75
1,1,2,low,2,a,0,185
1,1,2,low,2,b,1,15
1,1,2,low,3,a,0,82
1,1,2,low,3,a,1,2
1,1,2,low,3,b,1,103
1,1,2,low,3,b,2,13
1,1,2,low,4,a,0,53
1,1,2,low,4,a,1,40
1,1,2,low,4,a,2,2
1,1,2,low,4,b,1,31
1,1,2,low,4,b,2,64
1,1,2,low,4,b,3,11
1,1,3,high,2,a,0,94
1,1,3,high,2,b,1,106
1,1,3,high,3,a,0,44
1,1,3,high,3,a,1,8
1,1,3,high,3,b,1,41
1,1,3,high,3,b,2,105
1,1,3,high,4,a,0,14
1,1,3,high,4,a,1,16
1,1,3,high,4,a,2,4
1,1,3,high,4,b,1,25
1,1,3,high,4,b,2,39
1,1,3,high,4,b,3,99
1,1,3,low,2,a,0,170
1,1,3,low,2,b,1,30
1,1,3,low,3,a,0,84
1,1,3,low,3,a,1,2
1,1,3,low,3,b,1,86
1,1,3,low,3,b,2,28
1,1,3,low,4,a,0,39
1,1,3,low,4,a,1,17
1,1,3,low,4,a,2,0
1,1,3,low,4,b,1,48
1,1,3,low,4,b,2,69
1,1,3,low,4,b,3,27
1,1,4,high,2,a,0,79
1,1,4,high,2,b,1,121
1,1,4,high,3,a,0,38
1,1,4,high,3,a,1,8
1,1,4,high,3,b,1,41
1,1,4,high,3,b,2,112
1,1,4,high,4,a,0,9
1,1,4,high,4,a,1,12
1,1,4,high,4,a,2,6
1,1,4,high,4,b,1,28
1,1,4,high,4,b,2,38
1,1,4,high,4,b,3,105
1,1,4,low,2,a,0,182
1,1,4,low,2,b,1,18
1,1,4,low,3,a,0,63
1,1,4,low,3,a,1,1
1,1,4,low,3,b,1,117
1,1,4,low,3,b,2,17
1,1,4,low,4,a,0,22
1,1,4,low,4,a,1,19
1,1,4,low,4,a,2,0
1,1,4,low,4,b,1,40
1,1,4,low,4,b,2,98
1,1,4,low,4,b,3,17
1,1,5,high,2,a,0,117
1,1,5,high,2,b,1,83
1,1,5,high,3,a,0,55
1,1,5,high,3,a,1,4
1,1,5,high,3,b,1,58
1,1,5,high,3,b,2,83
1,1,5,high,4,a,0,23
1,1,5,high,4,a,1,13
1,1,5,high,4,a,2,7
1,1,5,high,4,b,1,28
1,1,5,high,4,b,2,49
1,1,5,high,4,b,3,80
1,1,5,low,2,a,0,136
1,1,5,low,2,b,1,64
1,1,5,low,3,a,0,92
1,1,5,low,3,a,1,10
1,1,5,low,3,b,1,45
1,1,5,low,3,b,2,53
1,1,5,low,4,a,0,61
1,1,5,low,4,a,1,21
1,1,5,low,4,a,2,7
1,1,5,low,4,b,1,31
1,1,5,low,4,b,2,36
1,1,5,low,4,b,3,43
1,1,6,high,2,a,0,94
1,1,6,high,2,b,1,106
1,1,6,high,3,a,0,33
1,1,6,high,3,a,1,30
1,1,6,high,3,b,1,54
1,1,6,high,3,b,2,83
1,1,6,high,4,a,0,11
1,1,6,high,4,a,1,23
1,1,6,high,4,a,2,12
1,1,6,high,4,b,1,20
1,1,6,high,4,b,2,61
1,1,6,high,4,b,3,73
1,1,6,low,2,a,0,149
1,1,6,low,2,b,1,51
1,1,6,low,3,a,0,74
1,1,6,low,3,a,1,6
1,1,6,low,3,b,1,76
1,1,6,low,3,b,2,44
1,1,6,low,4,a,0,47
1,1,6,low,4,a,1,20
1,1,6,low,4,a,2,11
1,1,6,low,4,b,1,29
1,1,6,low,4,b,2,59
1,1,6,low,4,b,3,33
1,1,7,high,2,a,0,90
1,1,7,high,2,b,1,110
1,1,7,high,3,a,0,44
1,1,7,high,3,a,1,16
1,1,7,high,3,b,1,39
1,1,7,high,3,b,2,101
1,1,7,high,4,a,0,15
1,1,7,high,4,a,1,17
1,1,7,high,4,a,2,9
1,1,7,high,4,b,1,26
1,1,7,high,4,b,2,41
1,1,7,high,4,b,3,91
1,1,7,low,2,a,0,150
1,1,7,low,2,b,1,50
1,1,7,low,3,a,0,82
1,1,7,low,3,a,1,7
1,1,7,low,3,b,1,68
1,1,7,low,3,b,2,43
1,1,7,low,4,a,0,36
1,1,7,low,4,a,1,20
1,1,7,low,4,a,2,6
1,1,7,low,4,b,1,48
1,1,7,low,4,b,2,55
1,1,7,low,4,b,3,33
1,1,8,high,2,a,0,104
1,1,8,high,2,b,1,96
1,1,8,high,3,a,0,30
1,1,8,high,3,a,1,9
1,1,8,high,3,b,1,68
1,1,8,high,3,b,2,93
1,1,8,high,4,a,0,9
1,1,8,high,4,a,1,24
1,1,8,high,4,a,2,12
1,1,8,high,4,b,1,14
1,1,8,high,4,b,2,55
1,1,8,high,4,b,3,86
1,1,8,low,2,a,0,173
1,1,8,low,2,b,1,27
1,1,8,low,3,a,0,73
1,1,8,low,3,a,1,0
1,1,8,low,3,b,1,100
1,1,8,low,3,b,2,27
1,1,8,low,4,a,0,34
1,1,8,low,4,a,1,23
1,1,8,low,4,a,2,2
1,1,8,low,4,b,1,40
1,1,8,low,4,b,2,76
1,1,8,low,4,b,3,24
1,2,9,high,2,a,0,120
1,2,9,high,2,b,1,80
1,2,9,high,3,a,0,41
1,2,9,high,3,a,1,9
1,2,9,high,3,b,1,79
1,2,9,high,3,b,2,71
1,2,9,high,4,a,0,24
1,2,9,high,4,a,1,31
1,2,9,high,4,a,2,6
1,2,9,high,4,b,1,15
1,2,9,high,4,b,2,59
1,2,9,high,4,b,3,64
1,2,9,low,2,a,0,179
1,2,9,low,2,b,1,21
1,2,9,low,3,a,0,157
1,2,9,low,3,a,1,9
1,2,9,low,3,b,1,22
1,2,9,low,3,b,2,12
1,2,9,low,4,a,0,53
1,2,9,low,4,a,1,4
1,2,9,low,4,a,2,0
1,2,9,low,4,b,1,105
1,2,9,low,4,b,2,25
1,2,9,low,4,b,3,13
1,2,10,high,2,a,0,137
1,2,10,high,2,b,1,63
1,2,10,high,3,a,0,45
1,2,10,high,3,a,1,3
1,2,10,high,3,b,1,92
1,2,10,high,3,b,2,60
1,2,10,high,4,a,0,21
1,2,10,high,4,a,1,24
1,2,10,high,4,a,2,0
1,2,10,high,4,b,1,22
1,2,10,high,4,b,2,69
1,2,10,high,4,b,3,62
1,2,10,low,2,a,0,173
1,2,10,low,2,b,1,27
1,2,10,low,3,a,0,115
1,2,10,low,3,a,1,3
1,2,10,low,3,b,1,59
1,2,10,low,3,b,2,23
1,2,10,low,4,a,0,48
1,2,10,low,4,a,1,12
1,2,10,low,4,a,2,1
1,2,10,low,4,b,1,65
1,2,10,low,4,b,2,52
1,2,10,low,4,b,3,22
1,2,11,high,2,a,0,101
1,2,11,high,2,b,1,99
1,2,11,high,3,a,0,41
1,2,11,high,3,a,1,11
1,2,11,high,3,b,1,60
1,2,11,high,3,b,2,88
1,2,11,high,4,a,0,15
1,2,11,high,4,a,1,25
1,2,11,high,4,a,2,3
1,2,11,high,4,b,1,23
1,2,11,high,4,b,2,48
1,2,11,high,4,b,3,85
1,2,11,low,2,a,0,181
1,2,11,low,2,b,1,19
1,2,11,low,3,a,0,92
1,2,11,low,3,a,1,0
1,2,11,low,3,b,1,89
